coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Batman: The Ride,"2,700 ft",50 mph,Six Flags Great Adventure,Operating,1993,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Batman: The Ride,"2,700 ft",50 mph,Six Flags Great America,Operating,1992,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Batman: The Ride,"2,700 ft",50 mph,Six Flags Magic Mountain,Operating,1994,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Batman: The Ride,"2,700 ft",50 mph,Six Flags Over Georgia,Operating,1997,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Batman: The Ride,"2,700 ft",50 mph,Six Flags Over Texas,Operating,1999,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Batman: The Ride,"2,700 ft",50 mph,Six Flags St. Louis,Operating,1995,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,100 or 105 ft,5,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280â€“1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],50 mph ,80 km/h,50,mph,50,100,ft,,5,4
The Great White (SeaWorld San Antonio),"2,562 ft",50 mph,SeaWorld San Antonio,Operating,1997,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,108 ft,5,Chain lift hill,"$21,000,000 ",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:00,1400 riders per hour,4.6,Werner Stengel,,81.2Â ft (24.7Â m),50 mph ,80 km/h,50,mph,50,108,ft,,5,4.6
Afterburn (roller coaster),"2,956 ft",62 mph,Carowinds,Operating,1999,Steel Inverted,Bolliger & Mabillard,Inverted Coaster - Custom,113 ft,6,Chain lift hill,US$10.5 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Crossroads,2:47,1380 riders per hour,,Ing.-BÃ¼ro Stengel GmbH,,,62 mph ,100 km/h,62,mph,62,113,ft,,6,
Montu (roller coaster),"3,983 ft",60 mph,Busch Gardens Tampa Bay,Operating,1996,Steel Inverted,Bolliger & Mabillard,Inverted Coaster - Custom,150 ft,7,Chain lift hill,"US$20,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Egypt,3 minutes,"1,710 riders per hour",3.8,Werner Stengel,50Â°,128Â ft (39Â m),60 mph ,97 km/h,60,mph,60,150,ft,,7,3.8
Jet Star (Luna Park),"1,765.1 ft",31.1 mph,"Luna Park - La Palmyre, France",Operating,2000,Steel Family,Anton Schwarzkopf,Jet Star,44.25 ft,0,,,,,1:07,240 riders per hour,,Ing.-BÃ¼ro Stengel GmbH,,,31.1 mph ,50.1 km/h,31.1,mph,31.1,44.25,ft,,0,
Tig'rr Coaster,"1,765 ft",31.1 mph,Indiana Beach,Operating,1984,Steel,Anton Schwarzkopf,Jet Star,44.25 ft,0,,,3 trains with a single car. Riders are arranged 1 across in 4 rows for a total of 4 riders per train.,,,,,Werner Stengel,,,31.1 mph ,50.1 km/h,31.1,mph,31.1,44.25,ft,,0,
Jet Star 2 (Lagoon),"1,913.3 ft",,Lagoon Amusement Park,Operating,1976,Steel,Anton Schwarzkopf,Jet Star 2,44.3 ft,0,,"$500,000 ",Single train with a single car. Riders are arranged 1 across in 6 rows for a total of 6 riders per train.,North Midway,,,,,,,,,,,,44.3,ft,,0,
Jumbo Jet (Chelyuskintsev Park),,,Chelyuskinstev Park,Operating,2015,Steel,Anton Schwarzkopf,Jet Star 3 / Jumbo Jet,56 ft ,0,Electric spiral lift,,,,,,,Werner Stengel,,,,,,,,56,ft,,0,
Cannonball Express (roller coaster),"1,738 ft",34 mph,Pleasurewood Hills,Operating,1995,Steel,Anton Schwarzkopf,Jumbo V,53 ft,0,Tire lift hill,,,,2:00,300 riders per hour,,Werner Stengel,,,34 mph ,55 km/h,34,mph,34,53,ft,,0,
Raik,689 ft,38.5 mph,Phantasialand,Operating,2016,Steel Shuttle,Vekoma,Junior Boomerang,82 ft ,0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Klugheim,,720 riders per hour,,,,,38.5 mph ,62.0 km/h,38.5,mph,38.5,82,ft,,0,
Little Dipper (Six Flags Great America),700 ft,25 mph ,Six Flags Great America,Operating,2010,Wood,Philadelphia Toboggan Coasters,Junior Coaster,28 ft ,0,Chain lift hill,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Yukon Territory,0:50,,,Herbert Schmeck,,24Â ft (7.3Â m),25 mph ,40 km/h,25,mph,25,28,ft,,0,
Octonauts Rollercoaster Adventure,469.2 ft ,,Alton Towers,Operating,2015,Steel,Zamperla,Junior Coaster,21.3 ft,0,Booster Wheel Lift hill,,Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,CBeebies Land,,,,,,9.8Â ft (3.0Â m),,,,,,21.3,ft,,0,
Vapor Trail (roller coaster),"1,300 ft",27 mph,Sesame Place Pennsylvania,Operating,1998,Steel Junior,Vekoma,Junior Coaster,43 ft ,0,Drive tire,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:15,,,,,56Â ft (17Â m),27 mph ,43 km/h,27,mph,27,43,ft,,0,
Woody Woodpecker's Nuthouse Coaster,679.2 ft,21.7 mph,Universal Studios Orlando,Operating,1999,Steel Junior,Vekoma,Junior Coaster,27.9 ft ,0,Chain lift,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Woody Woodpecker's KidZone,0:44,780 riders per hour,,Universal Creative,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Gadget's Go Coaster,679.2 ft,21.7 mph,Disneyland,Operating,1993,Steel Junior,Vekoma,Junior Coaster,27.9 ft ,,,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,,0:44,780 riders per hour,,Walt Disney Imagineering,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Gadget's Go Coaster,679.2 ft,21.7 mph,Disneyland Tokyo,Operating,1996,Steel Junior,Vekoma,Junior Coaster,27.9 ft ,,,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,,0:44,780 riders per hour,,Walt Disney Imagineering,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Road Runner Express (Six Flags Magic Mountain),679.2 ft,21.7 mph,Six Flags Magic Mountain,Operating,2011,Steel Junior,Vekoma,Junior Coaster,27.9 ft ,0,Chain lift hill,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,0:44,780 riders per hour,,,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Roller Skater (roller coaster),679.2 ft,21.7 mph,Kentucky Kingdom,Operating,1994,Steel,Vekoma,Junior Coaster,27.9 ft ,0,,$1.2 Million,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,0:50,780 riders per hour,,,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Sprocket Rockets,679.2 ft,21.7 mph,Six Flags Great America,Operating,1998,Steel Junior,Vekoma,Junior Coaster,27.9 ft ,0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Yukon TerritoryÂ - Camp Cartoon,0:44,780 riders per hour,,,,18.0Â ft (5.5Â m),21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Svalbard Ekspressen,679.2 ft,21.7 mph,Kongeparken,Operating,2000,Steel,Vekoma,Junior Coaster,27.9 ft ,0,,,,,0:44,780 riders per hour,,,,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Woodstock Express (Cedar Point),"1,099 ft",25 mph ,Cedar Point,Operating,1999,Steel Junior,Vekoma,Junior Coaster,38 ft,,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Camp Snoopy,1:10,,,,,,25 mph ,40 km/h,25,mph,25,38,ft,,0,
Flight of the Hippogriff,"1,099.1 ft",28.5 mph ,Universal Studios Beijing,Operating,2021,Steel Junior,Mack Rides,Junior Coaster,42.7 ft ,0,Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,,Universal Creative,,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Flight of the Hippogriff,"1,099.1 ft",28.5 mph ,Universal Studios Hollywood,Operating,2016,Steel Junior,Mack Rides,Junior Coaster,42.7 ft ,0,Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,,Universal Creative,,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Flight of the Hippogriff,"1,099.1 ft",28.5 mph ,Universal Studios Japan,Operating,2014,Steel Junior,Vekoma,Junior Coaster,42.7 ft ,0,Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,,Universal Creative,,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Flight of the Hippogriff,"1,099.1 ft",28.5 mph ,Universal Studios Orlando,Operating,2000,Steel Junior,Vekoma,Junior Coaster,42.7 ft ,0,Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,,Universal Creative,,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Roller Coaster (PapÃ©a Parc),"1,181 ft ",22.4 mph ,Papea Park,Operating,2009,Other,Zierer,Large Tivoli,26.3 ft ,0,,,Single train with 20 cars. Riders are arranged 2 across in a single row for a total of 40 riders per train.,,,"1,250 riders per hour",,Werner Stengel,,25Â ft (7.6Â m),22.4 mph ,36.0 km/h,22.4,mph,22.4,26.3,ft,,0,
Copperhead Strike,"3,255 ft",50 mph,Carowinds,Operating,2019,Steel Launched,Mack Rides GmbH & Co KG,Launch Coaster,82 ft ,5,LSM launch,"$26,000,000 ",3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Blue Ridge Junction,2:24,"1,200 riders per hour",,,,,50 mph ,80 km/h,50,mph,50,82,ft,,5,
Icon (roller coaster),"3,750 ft",52.8 mph,Blackpool Pleasure Beach,Operating,2018,Steel Launched,Mack Rides,Launch Coaster (Custom),88.5 ft,1,LSM-launch (x2),"Â£16,250,000",3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,2:41,,4.3,Mack Rides GmbH & Co. KG,,82Â ft (25Â m),52.8 mph ,85.0 km/h,52.8,mph,52.8,88.5,ft,,1,4.3
Blue Fire,"3,464.6 ft ",62 mph,Europa-Park,Operating,2009,Steel Launched,Mack Rides,Launched full-circuit dark ride / roller coaster,124 ft,4,LSM launch,,,Iceland,2:20 [1],"1,450 [1] riders per hour",3.8,,,,62 mph ,100 km/h,62,mph,62,124,ft,,4,3.8
Revolution (Blackpool Pleasure Beach),635 ft,,Blackpool Pleasure Beach,Operating,1979,Steel Shuttle Launched,Arrow Development,Launched Loop,56 ft ,2,,"Â£1,000,000",,,66,,4,,52Â°,47Â ft (14Â m),45 mph ,72 km/h,45,mph,45,56,ft,,2,4
Screamin' Demon,635 ft,45 mph ,Castle Park,Operating,2008,Steel Shuttle,Arrow Dynamics,Launched Loop,56 ft ,1,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Wild Animal Habitat,1:06,,4,,,47Â ft (14Â m),45 mph ,72 km/h,45,mph,45,56,ft,,1,4
Sidewinder (Elitch Gardens),635 ft,45 mph ,Elitch Gardens,Operating,1995,Steel Launched,Arrow Dynamics,Launched Loop,56 ft ,1,Launch,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:06,400 riders per hour,4,Arrow Dynamics,47Â°,47Â ft (14Â m),45 mph ,72 km/h,45,mph,45,56,ft,,1,4
Steel Taipan,"3,937 ft",65.2 mph,Dreamworld,Operating,2021,Steel Launched,Mack Rides,Launch Coaster,128 ft,4,LSM launch,"A$32,000,000",,Gold Rush Country,,820 riders per hour,3.8,,94Â°,,65.2 mph ,104.9 km/h,65.2,mph,65.2,128,ft,,4,3.8
Flight of Fear,"2,705 ft ",54 mph,Kings Island,Operating,1996,Steel Launched Enclosed,Premier Rides,LIM Catapult,74.2 ft,4,LIM Launch,,4 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:00,2000 riders per hour,4.5,Werner Stengel,,,54 mph ,87 km/h,54,mph,54,74.2,ft,,4,4.5
Poltergeist (roller coaster),"2,705 ft ",60 mph,Six Flags Fiesta Texas,Operating,1999,Steel Launched,Premier Rides,LIM Coaster,78.8 ft ,4,LIM Launch,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Rockville,1:15,,4.5,Werner Stengel,,,60 mph ,97 km/h,60,mph,60,78.8,ft,,4,4.5
The Joker's Jinx,"2,705 ft ",60 mph,Six Flags America,Operating,1999,Steel Launched,Premier Rides,LIM Coaster,78.8 ft,4,LIM launch,$10 million[1],2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Gotham City,0:56,975 riders per hour,4.5,Werner Stengel,,,60 mph ,97 km/h,60,mph,60,78.8,ft,,4,4.5
Mr. Freeze (roller coaster),"1,300 ft",70 mph,Six Flags Over Texas,Operating,1998,Steel Launched Shuttle,Premier Rides,LIM Shuttle Loop Coaster,218 ft ,2,Linear induction motors,$10 million,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,4,Werner Stengel,90Â°,194Â ft (59Â m),70 mph ,110 km/h,70,mph,70,218,ft,,2,4
Mr. Freeze (roller coaster),"1,300 ft",70 mph,Six Flags St. Louis,Operating,1998,Steel Launched Shuttle,Premier Rides,LIM Shuttle Loop Coaster,218 ft ,2,Linear induction motors,$10 million,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,4,Werner Stengel,90Â°,194Â ft (59Â m),70 mph ,110 km/h,70,mph,70,218,ft,,2,4
Magic Flyer (roller coaster),350 ft,10 mph ,Six Flags Magic Mountain,Operating,1971,Steel Kiddie,Bradley and Kaye,Little Dipper,10 ft ,0,Chain lift hill,,Single train with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Whistlestop Park,0:30,360 riders per hour,2.1,Chance Rides,1Â°,,10 mph ,16 km/h,10,mph,10,10,ft,,0,2.1
Incredicoaster,"6,072 ft",55 mph,Disney California Adventure,Operating,2018,Steel Launched,Intamin,Looping Coaster,122 ft,1,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,,Walt Disney Imagineering,,108Â ft (33Â m),55 mph ,89 km/h,55,mph,55,122,ft,,1,
Indiana Jones et le Temple of doom,"2,000 ft",36 mph,Disneyland Park (Paris),Operating,1993,Steel,Intamin,Looping Coaster,59 ft ,1,Chain lift hill,,7 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Adventureland,1:15,,,Walt Disney Imagineering,,,36 mph ,58 km/h,36,mph,36,59,ft,,1,
10 Inversion Roller Coaster,"2,788.8 ft",45 mph ,Chimelong Paradise,Operating,2006,Steel,Intamin,Looping Coaster,98.4 ft,10,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:32,"1,300 riders per hour",,Werner Stengel,,,45 mph ,72 km/h,45,mph,45,98.4,ft,,10,
The New Revolution (roller coaster),"3,457 ft",55 mph,Six Flags Magic Mountain,Operating,1976,Steel,Anton Schwarzkopf,Looping Coaster,113 ft,1,Chain lift hill,"$2,000,000 ",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Baja Ridge,79 seconds,1400 riders per hour,4.9,Werner Stengel,45Â°,83Â ft (25Â m),55 mph ,89 km/h,55,mph,55,113,ft,,1,4.9
Zimerman (roller coaster),"1,565.0 ft ",55 mph,Gloria's Fantasyland,Operating,2014,Steel,Arrow Dynamics,Looping Coaster,70 ft ,3,chain lift,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,,,,,65.0Â ft (19.8Â m),55.0 mph ,88.5 km/h,55,mph,55,70,ft,,3,
SooperDooperLooper,"2,614 ft",45 mph ,Hersheypark,Operating,1977,Steel,Anton Schwarzkopf,Looping Speedracer,75 ft ,1,Chain lift hill,$3 million,,,1:45,1175 riders per hour,,Werner Stengel,,70Â ft (21Â m),45 mph ,72 km/h,45,mph,45,75,ft,,1,
Silver Bullet (Frontier City),"1,942 ft",47.8 mph,Frontier City,Closed for Maintenance,1986,Steel,Anton Schwarzkopf,Looping Star,80 ft,1,Chain lift hill,,,,,1700 riders per hour,,Werner Stengel,,75Â ft (23Â m),47.8 mph ,76.9 km/h,47.8,mph,47.8,80,ft,,1,
Xpress: Platform 13,"3,267 ft",55.9 mph,Walibi Holland,Operating,2000,Steel Launched,Vekoma,LSM Launch,85 ft,3,LSM,,,Hollywood The Main Street,100 seconds,1200 riders per hour,,,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,85,ft,,3,
Mad Mouse (Michigan's Adventure),"1,268 ft",33 mph,Michigan's Adventure,Operating,1999,Steel Wild Mouse,Arrow Dynamics,Mad Mouse,68 ft,,Chain Lift Hill,"$2,000,000 ",,,1:30,500 riders per hour,,,,,33 mph ,53 km/h,33,mph,33,68,ft,,0,
Mad Mouse (Valleyfair),"1,257 ft ",30 mph ,Valleyfair,Operating,1999,Steel Wild Mouse,Arrow Dynamics,Mad Mouse,50 ft ,0,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:30,1000 riders per hour,,,,,30 mph ,48 km/h,30,mph,30,50,ft,,0,
Goliath (Six Flags Magic Mountain),"4,500 ft",85 mph,Six Flags Magic Mountain,Operating,2000,Steel,Giovanola,Mega Coaster,235 ft,0,Chain lift hill,$30 million,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Goliath Plaza,3:00,1600 riders per hour,,Werner Stengel,61Â°,255Â ft (78Â m),85 mph ,137 km/h,85,mph,85,235,ft,,0,
Kondaa,"3,937 ft",70.2 mph,Walibi Belgium,Operating,2021,Steel,Intamin,Mega Coaster,164 ft ,0,Chain lift hill,"â‚¬25,000,000[1]",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Exotic World,1:30,1080 riders per hour,,,80Â°,,70.2 mph ,113.0 km/h,70.2,mph,70.2,164,ft,,0,
Superman Ride of Steel,"5,400 ft",73 mph,Six Flags America,Operating,2000,Steel,Intamin,Mega Coaster,208 ft ,0,Chain lift hill,"$12,000,000 USD",2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Gotham City,2:02,1100 riders per hour,,Werner Stengel,68Â°,205Â ft (62Â m),73 mph ,117 km/h,73,mph,73,208,ft,,0,
Superman Ride of Steel,"5,400 ft",73 mph,Six Flags Darien Lake,Operating,1999,Steel,Intamin,Mega Coaster,208 ft ,0,Chain lift hill,"$12,000,000 USD",2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Gotham City,2:02,1100 riders per hour,,Werner Stengel,68Â°,205Â ft (62Â m),73 mph ,117 km/h,73,mph,73,208,ft,,0,
Superman The Ride,"5,400 ft",77 mph,Six Flags New England,Operating,2000,Steel,Intamin,Mega Coaster,208 ft ,0,Chain lift hill,"Approx: $12,000,000",2 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,DC Universe,2:35,1300 riders per hour,3.6,Werner Stengel,72Â°,221Â ft (67Â m),77 mph ,124 km/h,77,mph,77,208,ft,,0,3.6
Superman The Ride,"5,400 ft",77 mph,Six Flags New England,Operating,2000,Steel,Intamin,Mega Coaster,208 ft ,0,Chain lift hill,"Approx: $12,000,000",2 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,DC Universe,2:35,1300 riders per hour,3.6,Werner Stengel,72Â°,221Â ft (67Â m),77 mph ,124 km/h,77,mph,77,208,ft,,0,3.6
Kawasemi,"2,477 ft",52.8 mph,Tobu Zoo,Operating,2008,Steel,Intamin,Mega-lite,101.7 ft,,,,,,,,,,,,52.8 mph ,85.0 km/h,52.8,mph,52.8,101.7,ft,,0,
Adventure Express,"2,963 ft",35 mph ,Kings Island,Operating,1991,Steel Mine Train,Arrow Dynamics,Mine Train,63 ft,0,Two chain lift hills,"$4,000,000 ",3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Oktoberfest,2:20,1600 riders per hour,3.8,,,,35 mph ,56 km/h,35,mph,35,63,ft,,0,3.8
Big Thunder Mountain Railroad,,35 mph ,Disneyland,Operating,1979,Steel Mine Train,Arrow Development,Mine Train,104 ft,0,Chain lift hill,,,,~3:00,,,Walt Disney Imagineering,,,35 mph ,56 km/h,35,mph,35,104,ft,,0,
